benchmark,pair_id,n,weight,seed,variant,S_fwd,S_rev,decision,correct
AN,1,1000,1.0,0,unnorm,0.02185086732088516,0.06682385041022179,True,1.0
AN,2,1000,1.0,0,unnorm,0.059300535284517376,0.08076001697861528,True,1.0
AN,3,1000,1.0,0,unnorm,0.03447071404787815,0.06292885764370727,True,1.0
AN,4,1000,1.0,0,unnorm,0.01629097558336648,0.07212387986249612,True,1.0
AN,5,1000,1.0,0,unnorm,0.027335440458291522,0.04962520222411482,True,1.0
AN,6,1000,1.0,0,unnorm,0.01760942648441506,0.062115846498131545,True,1.0
AN,7,1000,1.0,0,unnorm,0.009632434354016419,0.07124338119562201,True,1.0
AN,8,1000,1.0,0,unnorm,0.026934855313965746,0.0585163062258448,True,1.0
AN,9,1000,1.0,0,unnorm,0.01703090368854586,0.023690954846702403,True,1.0
AN,10,1000,1.0,0,unnorm,0.0048492271836305225,0.012402948772067905,True,1.0
AN,11,1000,1.0,0,unnorm,0.014535786514422841,0.02100146866040139,True,1.0
AN,12,1000,1.0,0,unnorm,0.02239674676669468,0.035192780235222994,True,1.0
AN,13,1000,1.0,0,unnorm,0.012606941187873949,0.03362240651852765,True,1.0
AN,14,1000,1.0,0,unnorm,0.006815287767529105,0.034768203659223305,True,1.0
AN,15,1000,1.0,0,unnorm,0.011489449167495577,0.03067209149079645,True,1.0
AN,16,1000,1.0,0,unnorm,0.022498462225104255,0.06448164242773868,True,1.0
AN,17,1000,1.0,0,unnorm,0.00999718706237788,0.06624151242294066,True,1.0
AN,18,1000,1.0,0,unnorm,0.01864710128705062,0.019552390260409037,True,1.0
AN,19,1000,1.0,0,unnorm,0.007573558127189794,0.028686417882522432,True,1.0
AN,20,1000,1.0,0,unnorm,0.017613315955954226,0.06850933005531235,True,1.0
AN,21,1000,1.0,0,unnorm,0.005884325262667552,0.017858575696728964,True,1.0
AN,22,1000,1.0,0,unnorm,0.01669422224277073,0.02868195373875347,True,1.0
AN,23,1000,1.0,0,unnorm,0.013217056272357506,0.018739536085016432,True,1.0
AN,24,1000,1.0,0,unnorm,0.01206316881359338,0.01733584415111778,True,1.0
AN,25,1000,1.0,0,unnorm,0.00696866285057559,0.044398105377375735,True,1.0
AN,26,1000,1.0,0,unnorm,0.042773826609516424,0.07617629204306016,True,1.0
AN,27,1000,1.0,0,unnorm,0.009812367645781382,0.032516758765300774,True,1.0
AN,28,1000,1.0,0,unnorm,0.01322411968040008,0.014814028542360153,True,1.0
